AquaCrop 5.0 (October 2015) - Output created on (date) : 3/28/2017   at (time) : 3:25:11 PM

   Period     Day1   Month1    Year1     Rain      ETo       GD     CO2      Irri   Infilt   Runoff    Drain   Upflow        E     E/Ex       Tr   Tr/Trx    SaltIn   SaltOut    SaltUp  SaltProf     Cycle   SaltStr  FertStr  TempStr   ExpStr   StoStr  BioMass  Brelative   HI     Yield     WPet     DayN   MonthN    YearN  File
                                           mm       mm    °C.day    ppm        mm       mm       mm       mm       mm       mm        %       mm        %    ton/ha    ton/ha    ton/ha    ton/ha      days       %        %        %        %        %    ton/ha        %       %    ton/ha    kg/m3
      Day       22        3     1993      0.0      4.6     19.2   356.95      0.0      0.0      0.0      0.0      0.0      4.3       85      0.0       -9     0.000     0.000     0.000     0.000       -9       -0       44       -0        0        0     0.000       -9       -9       -9       -9       22        3     1993  SimuTest.PRO
      Day       23        3     1993      0.0      5.2     19.1   356.95      0.0      0.0      0.0      0.0      3.3      4.4       78      0.0       -9     0.000     0.000     0.042     0.042       -9       -0       44       -0        0        0     0.000       -9       -9       -9       -9       23        3     1993  SimuTest.PRO
      Day       24        3     1993      0.0      4.7     18.9   356.95      0.0      0.0      0.0      0.0      3.3      3.8       73      0.0       -9     0.000     0.000     0.042     0.084       -9       -0       44       -0        0        0     0.000       -9       -9       -9       -9       24        3     1993  SimuTest.PRO
      Day       25        3     1993      0.0      4.3     18.3   356.95      0.0      0.0      0.0      0.0      3.3      3.4       71      0.0       -9     0.000     0.000     0.042     0.127       -9       -0       44       -0        0        0     0.000       -9       -9       -9       -9       25        3     1993  SimuTest.PRO
      Day       26        3     1993      0.0      5.8     19.1   356.95      0.0      0.0      0.0      0.0      3.3      4.3       68      0.1      100     0.000     0.000     0.042     0.169        1        0       44        0        0        0     0.002      100       -9       -9       -9       26        3     1993  SimuTest.PRO
      Day       27        3     1993      0.0      4.9     19.4   356.95      0.0      0.0      0.0      0.0      3.3      3.5       65      0.1      100     0.000     0.000     0.043     0.212        2        0       44        0        0        0     0.003      100       -9       -9       -9       27        3     1993  SimuTest.PRO
      Day       28        3     1993      0.0      5.8     19.6   356.95      0.0      0.0      0.0      0.0      3.3      3.9       63      0.1      100     0.000     0.000     0.043     0.254        3        0       44        0        0        0     0.003      100       -9       -9       -9       28        3     1993  SimuTest.PRO
      Day       29        3     1993      0.0      5.9     19.1   356.95      0.0      0.0      0.0      0.0      3.3      3.8       59      0.1      100     0.000     0.000     0.043     0.297        4        0       44        0        0        0     0.004      100       -9       -9       -9       29        3     1993  SimuTest.PRO
      Day       30        3     1993      0.0      5.9     19.2   356.95      0.0      0.0      0.0      0.0      3.3      3.6       57      0.1      100     0.000     0.000     0.043     0.339        5        0       44        0        0        0     0.004      100       -9       -9       -9       30        3     1993  SimuTest.PRO
